ID,Application Address,Geocode Address,Map-Lot,Neighborhood,Year Permitted,Fiscal Year Permitted,Prior Use,Permitted Use,Housing Starts,Net Change in Units,Location
408,13-15 Avon St,13 Avon St,212-23,9,2010,,1 Unit,3 Units,3,2,"(42.3818253, -71.12274324)"
693,45-47 Hubbard Ave,45 Hubbard Ave,202-39,9,2018,FY18,2 units,1 unit,1,-1,"(42.38879709, -71.12751756)"
631,23 MONTGOMERY St,23 Montgomery St,193-140,11,2016,FY17,2 Units,2 Units,1,0,"(42.39416149, -71.13302026)"
430,87 New St,87 New St,264-97,9,2010,,Vacant/Parking,54 Units,54,54,"(42.38981147, -71.13938349)"
276,106-108 Second St,110 Second St,10-32,1,2005,,Vacant,32 Units,32,32,"(42.36776283, -71.07920803)"
22,1715 Mass Ave,1715 Mass Ave,155-39,8,1996,,Vacant,8 Units,8,8,"(42.38362148, -71.11911971)"
138,48 Clay St,50 Clay St,193-180,11,2000,,Commercial,2 Units,2,2,"(42.39494872, -71.13433364)"
166,651 Concord Ave,651 Concord Ave,2.67E-267,12,2001,,Vacant Lot,2 Units,2,2,"(42.38992329, -71.14879128)"
729,42 Blakeslee St,42 Blakeslee St,232-56,10,2019,FY19,2 units,1 unit,1,-1,"(42.38114997, -71.13486429)"
34,195 BLDG 3 BINNEY St,195 Binney St,28-33,1,1997,,Factory,18 Units,18,18,"(42.36605628, -71.08416025)"
93,48 PORTER Rd,48 Porter Rd,178-121,11,1998,,Business,Office/Retail/6 Units,6,6,"(42.38914228, -71.12210762)"
468,117 Cushing St,117 Cushing St,258-67,13,2012,,Store,1 Unit,1,1,"(42.37807322, -71.15204156)"
230,182 Raymond St,182 Raymond St,203B-24,9,2004,,1 Unit,8 Units,8,7,"(42.3887402, -71.12845566)"
567,35 HURON Ave,35 Huron Ave,206-83,9,2015,FY15,2 Units,1 Unit,1,-1,"(42.38498929, -71.12753436)"
485,20 Child St,20 Child St,1A-174,1,2013,FY13,Vacant,355 Units,355,355,"(42.371607, -71.07205445)"
253,1 First St,11 First St,18-47,1,2005,,Candy Factory,114 Units,114,114,"(42.37045452, -71.07708799)"
198,10 Ballord Pl,10 Ballord Pl,126-11,7,2003,,Unclear,1 Unit,1,1,"(42.36379089, -71.11339664)"
362,159 Upland Road,159 Upland Road,201.5-19,9,2007,,3 Units,2 Units,2,-1,"(42.38689869, -71.12565565)"
66,75-77 Webster St,75 Webster Ave,40-41,3,1997,,Vacant,2 Units,2,2,"(42.36855609, -71.09278528)"
626,330 Harvard St,330 Harvard St,116-24,6,2016,FY17,2 Units,4 Units,4,2,"(42.37030344, -71.10821412)"
436,128 Cherry St,128 Cherry St,74-30,4,2011,,2 Units,3 Units,3,1,"(42.36556879, -71.0967913)"
98,199 Sidney St,197 Sidney St,96-130,5,1998,,Office,1 Unit,1,1,"(42.35781578, -71.10560123)"
330,481 Concord Ave,481 Concord Ave,261-169,9,2007,,2 Family,14 Unit Boarding House,14,12,"(42.38678945, -71.14030313)"
665,177R Coolidge Hill Rd,181 Coolidge Hill,242B-50,10,2017,FY18,vacant,1 unit,1,1,"(42.37305826, -71.13725431)"
584,130 Cambridgepark Dr,130 Cambridgepark Dr,267.4-320,11,2015,FY16,Parking Lot,213 Units,213,213,"(42.39365963, -71.14458954)"
523,7 Humboldt St,7 Humboldt St,176-71,9,2014,FY14,1 Unit,1 Unit,1,0,"(42.38505538, -71.12089225)"
462,17 Clay St,17 Clay St,193-102,11,2012,,1 Unit,I Unit,1,0,"(42.39404949, -71.13403798)"
494,37 Mt. Pleasant,37 Mt Pleasant St,201.5-28,9,2013,FY13,1 Unit,2 Units,1,1,"(42.38759027, -71.12519637)"
758,29 Winslow St,29 Winslow St,206-48,9,2019,FY19,6 units,2 units,2,-4,"(42.38480432, -71.12953658)"
552,33 Richdale Ave,15 Richdale Ave,178-122,9,2014,FY15,Business/Storage,46 Units,46,46,"(42.38846949, -71.12229302)"
710,19 Fayette St,19 Fayette St,113-76,6,2018,FY19,3 units,2 units,2,-1,"(42.37200538, -71.1039017)"
457,8 Blanchard Rd,8 Blanchard Rd,266-26,12,2012,,1 Unit,1 Unit,1,0,"(42.38782595, -71.15742755)"
325,163 Brattle St,163 Brattle St,238-50,10,2007,,1 Unit Burned,1 Unit,1,0,"(42.37756694, -71.13497655)"
286,69 Banks St,69 Banks St,132-157,7,2006,,Vacant,3 Units,3,3,"(42.36887237, -71.1148005)"
225,456 Franklin St,456 Franklin St,124-79,7,2004,,3 Unit,2 Units,2,-1,"(42.36706764, -71.10981658)"
520,10 Ellery St,10 Ellery St,116-119,6,2014,FY14,1 Unit,2 Units,1,-1,"(42.37018839, -71.111217)"
743,90 Jackson St,90 Jackson St,190-46,11,2019,FY19,1 unit,2 units,2,1,"(42.39594943, -71.13537851)"
579,149 SHERMAN St,149 Sherman St,194-90,11,2015,FY15,Vacant,2 Units,2,2,"(42.39111585, -71.13289096)"
697,415 Massachusetts Ave,415 Massachusetts Ave,91-207,4,2018,FY18,Commercial/Parking,225 units,225,225,"(42.36359247, -71.1002168)"
318,152-154 Richdale Ave,154 Richdale Ave,202-20,9,2006,,Vacant,2 Townhouses,2,1,"(42.38914674, -71.12678979)"
650,907 Main St,907 Main St,91-70,4,2017,FY17,12 Units,Hotel,0,-12,"(42.36353526, -71.09965814)"
157,8-10 Valentine St,8 Valentine St,94-151,5,2000,,Vacant,3 Units,3,3,"(42.35993191, -71.10578845)"
616,85 Alpine St,85 Alpine St,261-141,9,2016,FY17,2 Units,1 Unit,1,-1,"(42.38585587, -71.13697223)"
725,189 Vassar St,189 Vassar St,55-27,2,2018,FY19,parking garage,16 units,16,16,"(42.35853065, -71.09864038)"
404,80-84 River St,80 River St,105-117,5,2009,,Comm/5 Units,Comm/5 Units,5,0,"(42.36412958, -71.1075595)"
10,274-276 Concord Ave,274 Concord Ave,230-5,10,1996,,2 Units,3 Units,3,1,"(42.38343776, -71.13345371)"
189,182 Elm St,182 Elm St,79-6,3,2002,,2 Unit,3 Units,3,2,"(42.37107975, -71.09616433)"
389,124 Rindge Ave,124 Rindge Ave,195-169,11,2008,,Church School,16 Units,16,16,"(42.39198669, -71.13004575)"
54,245-253 Norfolk St,245 Norfolk St,87-94,4,1997,,Industrial,21 Units,21,21,"(42.37025696, -71.09812528)"
357,55 River St,55 River St,105-139,7,2007,,4 Units,4 Units,4,1,"(42.36459102, -71.1068889)"
170,168 Harvard St,168 Harvard St,74-125,4,2001,,2 Units,3 Units,3,1,"(42.36616386, -71.09594157)"
594,20 Madison St,20 Madison St,227-76,9,2015,FY16,Vacant,I Unit,1,1,"(42.38228451, -71.12891499)"
142,74 Fayerweather St,74 Fayerweather St,237-64,10,2000,,2 Units,1 Unit,1,-1,"(42.38080513, -71.13729054)"
611,14 Holly Ave,14 Holly Ave,227-11,9,2016,FY16,2 Units,1 Unit,1,-1,"(42.38269932, -71.1297668)"
421,29 Field St,29 Field St,262-1,9,2010,,1 Unit?,2 Units,2,1,"(42.38611382, -71.13608099)"
500,4 Blanche St,310 Massachusetts Ave,69-101,5,2013,FY14,3 Units,Vacant Lot,0,-3,"(42.36240413, -71.09895514)"
110,51-53 Clay St,53 Clay St,193-109,11,1999,,Vacant,3 Units,3,3,"(42.39506283, -71.13407101)"
329,36 Churchill Ave,56 Churchill Ave,185-57,11,2007,,1 Unit,3 Units,3,2,"(42.40094561, -71.1317901)"
472,119-135 Harvey St,119 Harvey St,190-278,11,2012,,Cambridge Lumber,20 Units,20,20,"(42.3976833, -71.13391216)"
257,12 Holly Ave,12 Holly Ave,227-12,9,2005,,2 Units,1 Unit,1,-1,"(42.38263178, -71.12966177)"
489,161 Grove St,161 Grove St,266-15,13,2013,FY13,1 Units,Vacant Lot,0,-1,"(42.38295302, -71.1579238)"
125,384 Rindge Ave,388 Rindge Ave,268B-41,11,1999,,Vacant Lot,2 Units,2,2,"(42.39388774, -71.1392544)"
226,40 Grozier Rd,40 Grozier Rd,247-181,10,2004,,2 Unit,1 Unit,1,-1,"(42.37861014, -71.14184013)"
340,28-30 Hingham St/387 Western Ave,30 Hingham St,130-168,7,2007,,Parking,"18 Units, 165 Dorm Beds",18,18,"(42.36484638, -71.11525844)"
78,700 HURON Ave,700 Huron Ave,257-60,13,1998,,Residential,Add 3 Units To Huron Tower,3,3,"(42.38086849, -71.15455061)"
555,3 Wendall St,3-1/2 Wendell St,156-24,8,2014,FY15,1 Unit,2 Units,2,1,"(42.38203513, -71.1186682)"
754,13 Vincent St,13 Vincent St,201.5-36,9,2019,FY19,1 unit,2 units,2,1,"(42.38750502, -71.12566553)"
194,194 Prospect St,194 Prospect St,87-6,4,2002,,1 Unit/Comm,3 Units,3,2,"(42.37015694, -71.10029389)"
538,161-165 Auburn St,161 Auburn St,106-57,5,2014,FY15,2 Units,3 Units,3,1,"(42.36374752, -71.10481857)"
669,7 Kelly St,7 Kelley St,229-163,9,2017,FY18,1 unit,1 unit,1,0,"(42.38379445, -71.13202404)"
686,114 Clay St,114 Clay St,190-63,11,2018,FY18,1 unit,vacant,0,-1,"(42.39673359, -71.13439612)"
477,99 Kinnaird St,99 Kinnaird St,122-131,7,2012,,1 Unit,2 Units,2,1,"(42.36733446, -71.11212059)"
642,127 Coolidge Hill Rd,127 Coolidge Hill,242A-102,10,2017,FY17,1 Unit,Vacant,0,-1,"(42.37320868, -71.13792206)"
527,14 Myrtle Ave,14 Myrtle Ave,141-53,6,2014,FY14,1 Unit,2 Units,1,1,"(42.37713669, -71.10681337)"
637,28 Warren St,28 Warren St,36-154,3,2016,FY17,1 Unit,Vacant,0,-1,"(42.37289077, -71.08782989)"
490,21 GURNEY ST,21 Gurney St,ERROR: #N/A,10,2013,FY13,Two-Family,One-Family,1,-1,"(42.38039237, -71.13854803)"
591,1-6 Jefferson Park,1 Clifton Pl,268A-47,11,2015,FY16,Demoed Cha Hsg,104 Units Replacement,104,104,"(42.39353199, -71.13630113)"
679,305 Webster Ave,305 Webster Ave,81-20,3,2017,FY18,commercial,36 units,36,36,"(42.37353655, -71.09440079)"
548,53 Jay St,53 Jay St,123-29,7,2014,FY15,Vacant,3 Units,3,3,"(42.36611563, -71.11035458)"
213,265 Rindge Ave,265 Rindge Ave,193-184,11,2003,,3 Units,10 Units,10,7,"(42.39369391, -71.13476171)"
706,24-26 Berkshire St,24 Berkshire St,40-143,3,2018,FY19,6 units,6 units,6,0,"(42.36884613, -71.09161895)"
97,24 SACRAMENTO St,24 Sacramento St,156-104,8,1998,,2 Units,1 Unit,1,-1,"(42.38245786, -71.11734103)"
623,9 Donnell St,9 Donnell St,229-122,9,2016,FY17,Vacant,2 Units,2,2,"(42.38394525, -71.13261406)"
394,150 Vassal Lane,150 Vassal Lane,233-101,10,2008,,1 Unit,1 Unit,1,0,"(42.38349565, -71.13860429)"
647,308 Hurley St,308 Hurley St,26-108,1,2017,FY17,2 Units,1 Unit,1,1,"(42.36871079, -71.08432005)"
701,54 Reservoir St,54 Reservoir St,232-40,10,2018,FY18,2 units,2 units,2,0,"(42.38067152, -71.13585324)"
516,18 White St,18 White St,152-7,11,2013,FY14,2 Units & Comm,8 Units,8,6,"(42.38889837, -71.11824962)"
739,53 Henry St,53 Henry St,65-11,5,2019,FY19,2 units,1 unit,1,-1,"(42.35550166, -71.10864357)"
654,64 Pearl St,64 Pearl St,93-32,5,2017,FY17,1 Unit,2 Units,2,1,"(42.3633011, -71.10398259)"
458,4 Bond St,4 Bond St,215-18,9,2012,,2 Units,3 Units,1,1,"(42.38052776, -71.12673897)"
174,27 Maple St,27 Maple Ave,112-63,6,2001,,3 Units,2 Units,2,-1,"(42.37292127, -71.10458365)"
721,55-57 Park Ave,55 Park Ave,253-141,13,2018,FY19,2 units,1 unit,1,-1,"(42.37735501, -71.14932521)"
14,23 FAIRMONT St,23 Fairmont St,104-16,5,1996,,1 Unit,2 Units,2,1,"(42.36148726, -71.11029389)"
130,2 Ashburton Pl,2 Ashburton Pl,90-81,4,2000,,2 Units,1 Unit,1,-1,"(42.36627787, -71.10147661)"
570,150 Larch Rd,150 Larch Rd,249-53,10,2015,FY15,2 Units,1 Unit,1,-1,"(42.37990153, -71.14350502)"
42,325 Franklin St,325 Franklin St,119-55,7,1997,,Vacant,3 Units,3,3,"(42.36582395, -71.10712093)"
780,283 Upland Road,283 Upland Road,206-31-3,9,2019,FY20,3 units,2 units,1,-1,"(42.38484692, -71.12803239)"
372,119 Fayerweather St,119 Fayerweather St,263-107,10,2008,,2 Units,1 Unit,1,-1,"(42.38351846, -71.13681708)"
504,29 Garden St,29 Garden St,172-60,9,2013,FY14,75 Units,73 Units,4,-2,"(42.37881953, -71.12389521)"
606,136 Cushing St,136 Cushing St,256-85,13,2016,FY16,Religious,2 Units,2,2,"(42.37857694, -71.15239038)"
135,1167 Cambridge St,1167 Cambridge St,82-71,3,2000,,Commercial,8 Units,8,8,"(42.37328627, -71.09661701)"
74,24 GARdEN St,24 Garden St,216-18,10,1998,,6 Units,3 Units,3,-3,"(42.37805902, -71.12367375)"
129,52 Aberdeen Ave,52 Aberdeen Ave,252-132,10,2000,,Vacant,1 Unit,1,1,"(42.37657602, -71.14674382)"
344,8 Kirkland Place,8 Kirkland Place,145-28,8,2007,,Vacant,1 Unit,1,1,"(42.37767418, -71.11276867)"
238,19 Ash St,19 Ash St,167-40,10,2005,,3 Units,1 Unit,1,0,"(42.37473938, -71.12521345)"
106,68 BROOKLINE St,68 Brookline St,92-124,5,1999,,Vacant,5 Units,5,5,"(42.36255944, -71.10256495)"
245,1460 Cambridge St,1460 Cambridge St,113-73,6,2005,,Commercial,5 Units,5,5,"(42.37379302, -71.10318002)"
3,11 BIGELOW St,11 Bigelow St,118-27,6,1996,,11 Units,9 Units,9,-2,"(42.36771912, -71.10580454)"
267,40-42 Mt. Pleasant St.,40 Mt Pleasant St,201-123,9,2005,,6 Units,4 Units,4,-2,"(42.38777465, -71.12494588)"
633,54 Reed St,54 Reed St,193-124,11,2016,FY17,2 Units,3 Units,3,1,"(42.39494945, -71.13225121)"
361,303 Third St,303 Third St,29-34,1,2007,,Vacant/Comm,482 Units,482,482,"(42.36404088, -71.08366292)"
206,20 Loomis St,20 Loomis St,267C-46,12,2003,,Vacant Land,4 Units,4,4,"(42.39335333, -71.15495315)"
509,22 Lowell St,22 Lowell St,221-13,10,2013,FY14,3 Units,2 Units,2,-1,"(42.37550882, -71.13306267)"
312,NP North Point Bldg T,2 Earhart St,ERROR: #N/A,1,2006,,Vacant/Industrial,230 Units,230,230,"(42.37105819, -71.07415653)"
542,22-24 Clifton St,24 Clinton St,118-11,11,2014,FY15,3 Units,2 Units,2,-1,"(42.36896214, -71.10533155)"
657,86 School St,86 School St,75-127,4,2017,FY17,1 Unit,1 Unit,1,0,"(42.36391192, -71.09832687)"
766,17-19 Donnell St,17 Donnell St,"229-136,137",9,2019,FY20,2 units,2 units,2,0,"(42.38419093, -71.13221497)"
399,80 Lexington Ave,80 Lexington Ave,247-106,10,2009,,1 Unit,3 Units,3,2,"(42.37811978, -71.1405447)"
559,69 Clarendon Ave,69 Clarendon Ave,184-2,11,2015,FY15,Vacant,2 Units,2,2,"(42.40092071, -71.13093054)"
674,45 Mt Pleasant St,45 Mt Pleasant St,201.5-27,9,2017,FY18,1 unit,3 units,3,2,"(42.3878806, -71.12527344)"
531,533 Putnam Ave,533 Putnam Ave,97-18,5,2014,FY14,2 Units,3 Units,1,1,"(42.35760169, -71.10865692)"
774,33 Parker St,33 Parker St,225-32-2,9,2019,FY20,3 units,2 units,1,-1,"(42.3798713, -71.12860875)"
587,60 Ellery St,60 Ellery St,135-119,6,2015,FY16,9 Units,4 Units,3,-5,"(42.37239806, -71.10983232)"
662,29 Bellis Circle,29 Bellis Circle,271-15,9,2017,FY18,1 unit,1 unit,1,0,"(42.38998393, -71.13419328)"
718,1991-2013 Massachusetts Ave,1991 Massachusetts Ave,181-207,11,2018,FY19,Church/Car Wash,46 units,46,46,"(42.39097664, -71.12142744)"
299,7 Grant St,7 Grant St,132-25,7,2006,,Parking,3 Units,3,3,"(42.36990987, -71.11503489)"
413,72 Cambridge Pkwy.,75 Cambridge Pkwy,12-17,1,2010,,2 Units,1 Unit,1,-1,"(42.3643835, -71.07686011)"
751,32 Roberts Rd,32 Roberts Rd,140-80,6,2019,FY19,2 units,2 units,2,0,"(42.37661857, -71.10828085)"
619,3 Brookline St,3 Brookline Pl,92-130,5,2016,FY17,Vacant,8 units,8,8,"(42.36119934, -71.10324594)"
426,77 Hurley St,77 Hurley St,19-10,1,2010,,Warehouse,1 Unit/Dentist Office,1,1,"(42.36832575, -71.08021683)"
514,20 Traill St,20 Traill St,240-53,10,2013,FY14,1 Unit,2 Units,2,1,"(42.37532838, -71.13614447)"
431,81 PEMBERTON St,81 Pemberton St,199-7,11,2010,,2 Units,1 Unit,1,-1,"(42.39050022, -71.12659076)"
167,30 Elmer St,30 Elmer St,130-128,7,2001,,Vacant,4 Units,4,4,"(42.36602821, -71.11405957)"
33,195 BLDG 2B BINNEY St,195 Binney St,28-33,1,1997,,Factory,23 Units,23,23,"(42.36605628, -71.08416025)"
35,195 BLDG 4 BINNEY St,195 Binney St,28-33,1,1997,,Factory,84 Units,84,84,"(42.36605628, -71.08416025)"
149,10 Murdock St,10 Murdock St,87-147,4,2000,,Vacant,1 Unit,1,1,"(42.37136818, -71.09877757)"
265,2440-2464 Massachusetts Ave,2440 Massachusetts Ave,189-100,11,2005,,Liquor Store,42 Units,42,42,"(42.3979553, -71.1314187)"
46,17 LANCAStER St,17 Lancaster St,176-20,9,1997,,2 Units,1 Unit,1,-1,"(42.38573744, -71.12081122)"
162,8 Bigelow St,8 Bigelow St,118-35,6,2001,,5 Units,10 Units,10,5,"(42.3677671, -71.10544718)"
746,40 Market St,40 Market St,76-116,4,2019,FY19,Parking lots,23 units,23,23,"(42.36820326, -71.0960477)"
280,12A-16 Watson St,12-A Watson St,ERROR: #N/A,5,2005,,2 Units,4 Units,4,2,"(42.36187965, -71.10448028)"
65,286-290 Walden St,155 Garden St,228-30,9,1997,,Vacant Lot,3 Units,3,3,"(42.38552793, -71.13198401)"
574,1971 Massachusetts Ave,1969 Massachusetts Ave,179-51,11,2015,FY15,Commercial,20 Units & Comm,20,20,"(42.39012623, -71.12051184)"
181,311 River St,311 River St,129-34,7,2001,,Vacant,2 Units,2,2,"(42.36231347, -71.11374902)"
689,201-203 Concord Turnpike,201 Concord Turnpike,267.1-281,11,2018,FY18,commercial,320 units,320,320,"(42.39954351, -71.14889009)"
297,3-5 Grant St,3 Grant St,132-28,7,2006,,Parking,3 Units,3,3,"(42.36953639, -71.11498784)"
18,84 Holworthy St,84 Holworthy St,254-30,13,1996,,1 Unit,2 Units,2,1,"(42.37685965, -71.1505653)"
445,1063-1077 Massachusetts Ave,1075 Massachusetts Ave,134-50,6,2011,,Commercial,20 Units,20,20,"(42.37029673, -71.11305725)"
150,12 Old Dee Rd,12 Old Dee Rd,251-236,10,2000,,Vacant Lot,1 Unit,1,1,"(42.37627061, -71.14522305)"
376,125-127 Harvard St/Davis St,345 Harvard St,42-88,4,2008,,Commercial,24 Units,24,24,"(42.3710028, -71.1099371)"
733,40 Cottage St,40 Cottage St,104-92,5,2019,FY19,1 unit,2 units,1,1,"(42.3635239, -71.10761745)"
602,88 Ames St,88 Ames St,44-107,2,2016,FY16,Vacant,280 Units,280,280,"(42.3632618, -71.0877904)"
585,52-54R Cedar St,52 Cedar St,192-56,11,2015,FY16,1 Unit,2 Units,1,1,"(42.39464436, -71.13063998)"
563,9 Dinsmore Ct,9 Dinsmore Ct,220-34,10,2015,FY15,2 Units,1 Unit,1,-1,"(42.37510561, -71.12890479)"
177,23 Orrin St,23 Orrin St,229-20,9,2001,,Vacant Lot,1 Unit,1,1,"(42.38400141, -71.13139871)"
424,298 Harvard St,298 Harvard St,117-70,6,2010,,School,6 Units,6,6,"(42.36955451, -71.10572758)"
694,17-B Jackson St,17 Jackson St,193-55,11,2018,FY18,vacant,1 unit,1,1,"(42.39417699, -71.1350892)"
192,44 Market St,44 Market St,76-4,4,2002,,1 Unit,2 Units,2,1,"(42.36812395, -71.09642161)"
403,176-178 Raymond St,176 Raymond St,204-6,9,2009,,2 Units,2 Units,2,0,"(42.38848311, -71.12849953)"
732,230-232 Chestnut St,230 Chestnut St,100-52,5,2019,FY19,3 units,3 unit,1,0,"(42.35894779, -71.11302376)"
23,13 MSGR OBRIEN HGWY,10 Museum Way,1A-109,1,1996,,Warehouse,435 Units,435,435,"(42.37022964, -71.0715089)"
773,23 May St,23 May St,256-64,13,2019,FY20,vacant,1 unit,1,1,"(42.37875314, -71.15363691)"
287,45 Blackstone St,219 Putnam Ave,129-54,7,2006,,Switchhouse,33 Units,33,33,"(42.3639723, -71.11436816)"
744,16 Kennedy Rd,16 Kennedy Rd,238-83,10,2019,FY19,1 unit,1 unit,1,0,"(42.37824231, -71.13432025)"
578,186-188 River St,59 Kelly Rd,125-101,5,2015,FY15,Comm,3 Units,3,3,"(42.36323564, -71.11023333)"
711,65 Griswald St,65 Griswold St,267B-175,12,2018,FY19,2 units,1 unit,1,-1,"(42.39268536, -71.15625703)"
580,35 Williard St,35 Willard St,220-141,10,2015,FY15,2 Units,1 Unit,1,-1,"(42.37491464, -71.12851025)"
292,7-13 East St,1 Leighton St,1A-86,1,2006,,Industrial,426 Units,426,426,"(42.37007368, -71.07339156)"
60,50 REGENT St,50 Regent St,178-114,11,1997,,Storage,6 Units,6,6,"(42.38935908, -71.12247715)"
119,89 Plymouth St,89 Plymouth St,78-52,3,1999,,Vacant,1 Unit,1,1,"(42.36897876, -71.09429111)"
282,4 Austin Park,4 Austin Park,107-90,6,2006,,2 Units,I Unit,1,-1,"(42.36729862, -71.10422166)"
205,100 Landsdowne St,100 Landsdowne St,68-74,5,2003,,Vacant Land,203 Units,203,203,"(42.35999671, -71.10095296)"
546,192 Franklin St,192 Franklin St,93-36,5,2014,FY15,1 Unit,Vacant,0,-1,"(42.36305089, -71.10339518)"
260,19 Jay St,19 Jay St,125-4,7,2005,,2 Units,3 Units,3,1,"(42.36457332, -71.10996984)"
28,245-247 Washington St,245 Washington St,74-115,4,1996,,6 Units,3 Units,3,-3,"(42.3649945, -71.09655504)"
414,535-545 Cambridge St,535 Cambridge St,35-53,1,2010,,Commercial,4 Units,4,4,"(42.37180101, -71.08516192)"
641,14 Concord Ave,14 Concord Ave,216-4,10,2017,FY17,2 Units,1 Units,1,-1,"(42.37870002, -71.12468483)"
72,12 CORP BURNS Rd,12 Corporal Burns Rd,261-132,9,1998,,Vacant Lot,1 Unit,1,1,"(42.38603681, -71.13758549)"
392,18-20 Tenney St,18 Tenney St,180-26,11,2008,,2 Units,1 Unit,1,-1,"(42.39283979, -71.12087623)"
13,164 REAR Elm St North,164 Elm St North,180-33,11,1996,,1 Unit,3 Units,2,2,"(42.39202031, -71.11978441)"
446,2419 Massachusetts Ave,7 Cameron Ave,184-106,11,2011,,Warehouse,37 Units,37,37,"(42.39787653, -71.13021677)"
383,45-47 Magazine St,45 Magazine St,104-155,5,2008,,4 Units,3 Units,3,-1,"(42.3627684, -71.10724868)"
55,100 OTIS St,100 Otis St,25-33,1,1997,,1 Unit,2 Units,2,1,"(42.37057022, -71.08263267)"
573,12 Malcolm Rd,12 Malcolm Rd,234-111,10,2015,FY15,2 Units,1 Unit,1,-1,"(42.38166229, -71.13931874)"
314,180 Raymond St,180 Raymond St,203B-24,9,2006,,2 Units,2 Units,2,0,"(42.3886788, -71.12842096)"
612,2 Leighton St,2 Leighton St,1A-87,1,2016,FY16,Vacant,265 Units,265,265,"(42.37023719, -71.07381609)"
145,13 Lopez Ave,13 Lopez Ave,19-33,1,2000,,Vacant?,1 Unit,1,1,"(42.36857669, -71.07989581)"
713,212 Hampshire St,212 Hampshire St,110-17,6,2018,FY19,Jazz Club,8 units,8,8,"(42.37333124, -71.10053326)"
499,176 APPLETON St,176 Appleton St,230-62,10,2013,FY14,2 Units,1 Unit,1,-1,"(42.38231907, -71.13354385)"
50,98-100 MONTGOMERY St,55 Montgomery St,190-154,11,1997,,2 Units,5 Unit,5,3,"(42.3951057, -71.13304609)"
467,22-27 Cottage Park Ave,22 Cottage Park Ave,189-102,11,2012,,Commercial,16 Units,16,16,"(42.39863721, -71.13318307)"
336,1 First St,21 Otis St,18-47,1,2007,,Industrial,82 Units,82,82,"(42.37009141, -71.07757496)"
237,196 Aberdeen Ave,1 Aberdeen Way,252A-154,10,2005,,Office,55 Units,55,55,"(42.37750995, -71.14753758)"
182,90-92 Sixth St,90 Sixth St,26-126,1,2001,,2 Units,3 Units,3,1,"(42.36859223, -71.08541616)"
704,24 Winter St,24 Winter St,21-29,1,2018,FY18,1 unit,3 units,2,2,"(42.37225102, -71.08072732)"
351,57 Otis St,57 Otis St,24-110,1,2007,,4 Units,3 Units,3,-1,"(42.37044463, -71.08022695)"
541,69 Clarendon Ave,69 Clarendon Ave,184-2,11,2014,FY15,2 Units,Vacant,0,-2,"(42.40092071, -71.13093054)"
87,2527-2529 Mass Ave,2527 Mass Ave,184-9,11,1998,,Vacant Lot,2 Units,2,2,"(42.39999968, -71.13302158)"
160,16 Bellevue Ave,16 Bellevue Ave,209-34,9,2001,,2 Units,1 Unit,1,-1,"(42.38593052, -71.12608737)"
672,19 MAPLE Ave,19 MAPLE Ave,112-141,6,2017,FY18,Garage,1 unit,1,1,"(42.37247331, -71.10494506)"
765,2 Chetwynd Rd,2 Chetwynd Rd,205-86,9,2019,FY20,1 unit,2 units,2,1,"(42.3862926, -71.12897096)"
605,45 Coolidge Hill Rd,45 Coolidge Hill Rd,242A-119,10,2016,FY16,2 Units,1 Unit,1,-1,"(42.37384062, -71.13904725)"
188,56 Elm St,56 Elm St,86-99,4,2002,,Office,3 Units,3,3,"(42.36849388, -71.09795362)"
407,48-50 Winslow St,48 Winslow St,206-45,9,2009,,2 Units,4 Units,4,2,"(42.385002, -71.12873861)"
173,40 Lopez Ave,40 Lopez St,94-49,5,2001,,Studio,1 Unit,1,1,"(42.36167912, -71.10518138)"
114,184 Harvey St,184 Harvey St,190-258,11,1999,,1 Unit,2 Units,2,1,"(42.39741605, -71.13562219)"
681,64 Winter St,64 Winter St,22-54,1,2017,FY18,garage,1 unit,1,1,"(42.37255456, -71.08130346)"
220,24 Clifton St,24 Clifton St,269-23,11,2004,,1 Unit,2 Units,2,1,"(42.39437417, -71.1364614)"
275,1 Russell St,1 Russell St,181-189,11,2005,,Nursing Home,24 Units,24,24,"(42.39206955, -71.12362584)"
420,45-47 Fenno St,45 Fenno St,205-28,9,2010,,2 Units,1 Unit,1,-1,"(42.38547232, -71.12957937)"
82,5 MAPLE Ave,5 Maple Ave,112-125,6,1998,,3 Units,2 Units,2,-1,"(42.37172188, -71.10548443)"
736,646 Green St,646 Green St,121-16,7,2019,FY19,Garage,1 unit,1,1,"(42.36890461, -71.11260461)"
378,77 Hurley St,77 Hurley St,19-10,1,2008,,Commercial,1 Unit And Dentist Office,1,1,"(42.36832575, -71.08021683)"
231,156 Richdale Ave,156 Richdale Ave,202-20,9,2004,,2 Unit,1 Unit,1,-1,"(42.38899512, -71.12683289)"
363,18 Whitney Ave,18 Whitney Ave,101-153,5,2007,,3 Units,7 Units,7,4,"(42.35947798, -71.11253244)"
452,151 Raymond St,151 Raymond St,202-76,9,2011,,2 Units,2 Units,2,0,"(42.38786319, -71.12768786)"
77,273 HARVARd St,273 Harvard St,108-44,6,1998,,Nursing Home,22 Units Asst Hsg,22,22,"(42.3689905, -71.1031111)"
568,1-6 Jefferson Park,1 Clifton Pl,268A-47,11,2015,FY15,108 Units,Vacant,0,-108,"(42.39353199, -71.13630113)"
