"THE UMA GROUP, INC.",CONV / LIQUOR STORE 
"ULTIMATE KITCHENS & BATHS, INC.",PLUMBING WORK & GAS FITTING & REMODELING
ULTIMATE LIVERY & SHUTTLE CORPORATION,LIVERY SERVICES
"ULTIMATE LIVING SPACES, INC.",RESIDENTIAL CONSTRUCTION
ULTIMATE LLC,CONSTRUCTION STAFFING
ULTIMATE MARBLE & GRANITE INSTALLATION INC,MARBLE AND GRANITE BUSINESS
"ULTIMATE MARKETING, INC.",MARKETING CONSULTING
"ULTIMATE MEDICAL INFORMATION, LLC",TO PROVIDE WEB-BASED MEDICAL INFORMATION FOR CONSUMERS
ULTIMATE MORTGAGE CO. INC.,MORTGAGE BROKER
"ULTIMATE MORTGAGE SERVICES, LLC.",THE GENERAL CHARACTER OF THE BUSINESS IS TO BROKER LOANS FOR RESIDENTIAL AND
"ULTIMATE NEW MEDIA, INC.",CONSULTING SERVICES
"ULTIMATE OFFICE CONCEPTS, LLC","ULTIMATE OFFICE SOLUTIONS PROVIDES MEDIA AND PRINT SERVICES, ADVERTISING AND"
"ULTIMATE OUTCOME CONSULTING, LLC",CONTRACTED TRAINING SERVICES
ULTIMATE PAINTERS INC,PAINTING
ULTIMATE PAINTING & GENERAL SERVICES,CONSTRUCTION AND PAINTING SERVICES
"ULTIMATE PARKING II, LLC",PARKING AND VALET MANAGEMENT SERVICES
"ULTIMATE PARKING, LLC",PARKING AND VALET MANGEMENT SERVICES
ULTIMATE PERK COFFEE CO INC,COFFEE SHOP AND CAFE
"ULTIMATE PERK, INC.",COFFEE BREAKFAST
ULTIMATE PERSONNEL LTD.,TEMPORARY AND PERMANENT EMPLOYMENT SERVICES
"ULTIMATE PIZZA, INC.",RESTAURANT
"ULTIMATE PLASTERING, INC.",PLASTERING
"ULTIMATE POOCH, INC., THE",DOG GROOMING AND BOARDING
"ULTIMATE QUALITY SEAFOOD, INC.",RETAIL SALES OF FISH AND SHELLFISH
"ULTIMATE REJUVENATION CLEANSE, LLC",(A) IS TO ENGAGE IN THE BUSINESS OF PROVIDING WELLNESS AND NUTRITION GUIDANC
"ULTIMATE SALON, INC., THE",TANNING SALON
"ULTIMATE SOFTWARE GROUP, INC., THE",SAAS; ASP HR/PAYROLL SOFTWARE & RELATED SERVICES
"ULTIMATE SOLUTIONS, INC.",DISTRIBUTOR OF DEVELOPMENT TOOLS FOR EMBEDDED SYS.
"ROTH STAFFING COMPANIES, LIMITED",STAFFING SERVICES
ULTIMATE STENCIL PRODUCTS CORP.,SPECIALIZED PRINTING
ULTIMATE SYSTEMS SOLUTIONS LLC,"DISTRIBUTION AND SALE OF PARKING GARAGE ACCESS, PARKING GARAGE SECURITY AN"
FLEJTER LLC,"ARGENTINE TANGO EDUCATION - LESSONS, LECTURES, SHOWS, EVENTS ETC"
"ULTIMATE TANNING, LLC","TO OPERATE, MAINTAIN, CONDUCT, AND CARRY ON ONE OR MORE BEAUTY OR DAY SPA"
"ULTIMATE TECHNOLOGY, INC.",TECHNOLOGY PRODUCTION
"ULTIMATE TOWING AN ROADSIDE, LLC",TRANSPORTATION - CARGO - ON TRUCKS - TOWING - ROADSIDE SERVICES
ULTIMATE TRANSFORMATION INC.,"PERSONAL TRAINING, NUTRITIONAL COUNSELING"
"ULTIMATE TRANSPORT, INC.",TRUCKING
"ULTIMATE TRIM & STAIRWAY CREATIONS, INC.",SPECIALTY FINISH CARPENTRY
ULTIMATE VISION LLC,ONLINE RETAIL OF HIGH END YO-YOS AND SKILL TOYS
ULTIMATE VISION REALTY LLC,REAL ESTATE: BUYING/SELLING REAL ESTATE PROPERTIES.
"ULTIMATE WINDOWS, INC.",WINDOW MANUFACTURING AND SALES
ULTIMATELY LLC,WEB-BASED TECHNOLOGY COMPANY THAT PROVIDES USERS WITH A PLATFORM TO CRE
ULTIMO SOFTWARE SOLUTIONS INC.,SOFTWARE CONSULTING & DEVELOPMENT
"ULTIMUS GLOBAL VENTURES, LLC",START UP VENTURES WITH WORLD-LEADING EXPERTS/ENTREPRENEURS AND HELP START
"LUCERNE INSTITUTE, INC.","HOLISTIC, PREVENTIONAL, COST EFFECTIVE HEALTHCARE"
ULTISPACE LLC,AN ONLINE ULTIMATE FRISBEE SOCIAL NETWORKING COMMUNITY. WE SELL ADVERTISING
"ULTIVUE, INC.",LIFE SCIENCE
ULTRA AIRBORNE VISION LLC,"ULTRA AIRBORNE VISION(""U.A.V"") WILL BE PROVIDING UNMANNED AERIAL SERVICES SUC"
ULTRA AUTOMOTIVE INC,AUTOMOTIVE SERVICE AND SALES
"ULTRA AUTOMOTIVE, LLC.",AUTO & TRUCK REPAIRS AND STATE INSPECTION STATION
"ULTRA BEAUTY, INC.",RETAILER OF COSMETICS
ULTRA BRIGHT CLEANERS INC.,CONVENIENCE STORE
ULTRA BRIGHT CLEANING SERVICE INC.,CLEANING SERVICES
"ULTRA BUILDING & DESIGN, INC.",BUILDING AND CONSTRUCTION
"ULTRA CLEANING SERVICES, INC",JANITORIAL SERVICES
ULTRA COLLISION CENTER INC,AUTO BODY REPAIR
"ULTRA COLOR LAB, INC.",PHOTO FINISHING
"ULTRA COMMERCIAL INTERIORS, INC.",DRYWALL & ACOUSTICAL CONTRACTOR
ULTRA CONSTRUCTION SVS INC,CONSTRUCTION
ULTRA CONTRACTING SERVICES INCORPORATED,"REMODELING SERVICES, PAINTING, CARPENTRY"
"ULTRA DIAGNOSTICS, INCORPORATED",MEDICAL ULTRASOUND
ULTRA ELECTRONICS FORENSIC TECHNOLOGY INC.,"DESIGN, MANUFACTURE AND SUPPORT OF IBIS"
"ULTRA ELECTRONICS OCEAN SYSTEMS, INC.",ELECTRONIC CONTROLS MANUFACTURE
ULTRA EXPRESS SOLUTION INC,CELL PHONE ACTIVATION AND BILL PAYMENT
ULTRA FILTRONICS LTD,SERVICE PROVIDER TO BUILDING FACILITIES MANAGERS
"ULTRA FILTRONICS, INC.",PROVIDE ULTRA PURE WATER FILTERING SYSTEMS
"ULTRA FINISH PAINTING, INC.",PAIN.
"ULTRA FOOTWEAR ACCELERATOR, LLC",SALES AND CONSULTING AND ANY OTHER LEGAL BUSINESS
"ULTRA HEALTH CONNECTIONS, LLC",SALE OF PRODUCTS THAT CONTAIN CELL SHIELDS THAT AID IN PROTECTING TECHNOLOG
"ULTRA HEATING AND AIR CONDITIONING, INC.",ULTRAHEATING & AIR CONDITIONING INC.
ULTRA JET SOFTWARE CORPORATION,SOFTWARE DEVELOPMENT AND IT CONSULTING
"ULTRA KITCHEN & BATH DESIGN, INC.","KITCHEN & BATH DESIGN, SALES, INSTALLATION"
"ULTRA MAX CLEANING, INC.",CLEANING SERVICES
"ULTRA MORTGAGE, LLC",MORTGAGE BROKER
"ULTRA RISK ADVISORS, INC.",PROGRAM ADMINISTRATOR NICHE INSURANCE WHOLESALER
"ULTRA SAFE PEST MANAGEMENT, INC.",PEST / WILDLIFE MANAGEMENT
"ULTRA SERVICES, INC.",HVAC INSTALLATION AND SERVICE
ULTRA SHINING CLEANING CORP,CLEANING SERVICES
ULTRA SIGNS CORP,SIGNS AND ADVERTISING MANUFACTURE
"ULTRA TRAVEL SERVICE, INC.",FULL SERVICE RETAIL TRAVEL AGENCY
ULTRA VISION CORP.,TO OPEN AN OPTICAL OFFICE
"ULTRA-CARE FLOOR SYSEMS, INC.",FLOOR CARE
ULTRABAIT INC.,DISTRIBUTION OF PEST CONTROL PRODUCTS
"ULTRABENEFITS, INC.",ADMINISTRATION OF SELF FUNDED HEALTH PLANS
"ULTRACELL INSULATION, LLC",MANUFACTURE AND INSTALLATION OF CELLULOSE INSULATION
ULTRACLAD CORPORATION,MNAUFACTURING OF POWDER METALLURGY PARTS
ULTRACLIFF WIRELESS LLC,"CONTRACTOR, TRADE/RETAIL"
"ULTRACONDUCTIVE COPPER COMPANY, INC.",DEVELOPING COPPER PROCESS
"ULTRADIAGNOSTICS, INC.",MEDICAL IMAGING RESEARCH AND DEVELOPMENT.
ULTRAFLOTE CORPORATION,INSTALLATION OF FLOATING ROOFS & DOMES
ULTRAFLOTE L.L.C.,"TO PROMOTE THE COMPANY AND ATTAIN PROFITABLE SALES OF ALUMINUM COVERS, IN"
"ULTRAFLOW MEMBRANE CO., INC.",FILTER MANUFACTURER
ULTRAGENYX PHARMACEUTICAL INC.,PHARMACEUTICAL DISTRIBUTION
"BL SYSTEMS, INC.",SECURITY SYSTEMS
ULTRAHAPTICS NORTH AMERICA INC.,ULTRASONIC ENGINEERING.
ULTRAIMAGING LABS LLC,"DIAGNOSTIC IMAGING: ULTRASOUND, CT SCAN, AND MRI"
ULTRAMAR ENERGY INC.,MARKETING OF PETROLEUM PRODUCTS
"ULTRAMAR TRAVEL MANAGEMENT, INC.",TRAVEL MANAGEMENT
"ULTRAMART CONVENIENCE STORES, LLC",RETAIL AND GASOLINE
VITAMIN PORTFOLIO LLC,"RESELLER OF VITAMINS, SUPPLEMENTS AND OTHER HEALTH IMPROVEMENT MATERIALS."
"ULTRAPURE SERVICES, INC.",CONSTRUCTION CONTRACTOR
"ULTRAPURE SYSTEMS NORTH AMERICA, LLC",PROCESS EQUIPMENT FABRICATION FOR BIO-PHARM INDUSTRY
ULTRASALON INC.,BEAUTY SALON
ULTRASONIC ENERGY EFFICIENCY SOLUTIONS,UEES LLC IS AN ADVANCED BATTERY TECHNOLOGY LICENSING COMPANY
"ULTRASONIC PRODUCTIONS, LLC",THE PRODUCTION OF AUDIO AND VISUAL MEDIA AND LIVE SHOWS. THE LLC MAY ALSO
"ULTRASONIC SOLUTIONS, INC.",DISTRIBUTOR OF VARIOUS MUNICIPAL WATERWORKS SUPPLY
"ULTRASONIC SYSTEMS, INC.",MANUFACTURE OF PRECISION INDUSTRIAL COATING SYSTEM
"ULTRASOUND DYNAMICS, INC.",RESEARCH AND DEVELOPMENT
"ULTRASOUND IMAGES, INC.",ULTRASOUND IMAGING PROSTATE BIOPSY SPECIALIST
"ULTRASOUND RESOURCES ON-CALL, INC.",MEDICAL IMAGING STAFFING
"ULTRASOUND TECHNICAL SERVICES, INC.",EDUCATIONAL SERVICES
"ULTRASOUND TECHNICAL SPECIALISTS, INC.",MEDICAL ULTRASOUNDS
ULTRATEC LLC,FRAMING CONTRACTOR
"ULTRATECH , INC.",SALE AND SERVICE OF SEMICONDUCTOR MFG EQUIPMENT
ULTRAWELLNESS LLC,INFORMATION PRODUCT SALES
"ULTRAZA CONSTRUCTION, INC.",CONSTRUCTION
"ULTROMICS, INC.",AI TECHNOLOGY TO SUPPORT CLINICIANS
ULURU AUSTRALIAN CAFE LLC,RESTAURANT
ULV AMERICAS INC.,"REAL ESTATE INVESTMENT, DEVELOPMENT AND CONSULTING"
"ULVAC TECHNOLOGIES, INC.",MANUFACTURER AND DISTRIBUTOR FOR CAPITAL EQUIPMENT
"ULX PARTNERS, LLC","FINANCE, HR, IT SERVICES"
"ULYSSES ASSET SUB I, LLC",TELECOMMUNICATIONS
"ULYSSES ASSET SUB II, LLC",TELECOMMUNICATIONS
"ULYSSES CONSULTING, LLC",EXECUTIVE COACHING AND CONSULTING.
"ULYSSES HOLDINGS, INC.",SHAREHOLDER HOLDING COMPANY
"ULYSSES INVESTMENTS, LLC",PRIVATE INVESTMENT COMPANY
UM CLIENT MANAGEMENT SERVICES INC,FINANCIAL CONSULTING + CLIENT MANAGEMENT SERVICES
"UM CONSULTANTS, LLC",CONSULTING SERVICES
"UMA COMPUTER SOFTWARE GROUP, INC.",SOFTWARE CONSULTING
"UMA CONVENIENCE, INC.","CONVENIENCE STORE WITH BEER, WINE AND LOTTERY"
UMA CORPORATION,PACKAGE STORE
"UMA DINORA, LLC",BUSINESS LENDING
"UMA HEALTH, INC",IN-HOME HEALTH CARE SERVICES
"UMA LIQUORS, INC.",LIQUOR STORE
UMA LOUCURA LLC,FOOD SERVICE SALES
"UMA, INC.",OWN AND OPERATE REAL ESTATE BUSINESS
"UMACO, INC.",WHOLESALES SALES OF CEMENT BASED PRODUCTS
UMAGEN LLC,BIOTECH CONSULTING SERVICES
"UMAGINATION LABS, LIMITED PARTNERSHIP",PRODUCT DEVELOPMENT
"UMAGINATION LABS, LLC",MANAGEMENT SERVICES
UMAIR ASSOCIATES LLC,CONVENIENCE STORE
"UMAIR, INC.",CONVENIENCE STORE
"UMAIZA, INC.",GASOLINE AND CONVENIENCE STORE
UMAJIN INC.,SOFTWARE DEVELOPMENT AND SALES
"UMAMI, INC.",RESTAURANT
UMANA LAW LLC,DESCRIPTION OF THE PROFESSIONAL SERVICES IN WHICH THE LLC IS ENGAGED: THE PRA
UMANA TRUCKING INC,TRUCKING SERVICES
"UMANA-FISHER REALTY GROUP, LLC",TO ENGAGE IN PURCHASING OF REAL STATE AND SALE OF REAL STATE AND
"UMANG, INC.",RETAIL CONVENIENCE STORE
"UMANO AIR SYSTEMS, LLC.",HVAC INSTALLATION AND REPAIR
UMANO MEDICAL INC.,WE MANUFACTURE AND SOLD HOSPITAL BEDS
UMANZOR PAINTING INC.,PAINTING
UMAPATI LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE INVESTME
"UMAR AND BILAL TAXI, INC.",TAXI CAB
"UMASS CLUB MANAGEMENT, INC.",PRIVATE CLUB BUSINESS - INACTIVE
"UMASS CLUB MANAGEMENT, LLC",PRIVATE CLUB MANAGEMENT
UMASS MEMORIAL HEALTHALLIANCE MRI,"TO ACQUIRE, OWN AND INVEST IN MAGNETIC RESONANCE IMAGING EQUIPMENT; TO OW"
"UMASS MEMORIAL MRI & IMAGING CENTER,",TO ENGAGE IN ANY LAWFUL ACTIVITIES FOR WHICH LIMITED LIABILITY COMPANIES MAY
"UMASS MEMORIAL MRI - MARLBOROUGH,","TO ACQUIRE, OWN AND INVEST IN MAGNETIC RESONANCE IMAGING EQUIPMENT; TO OW"
"UMASS MEMORIAL SHIELDS PHARMACY, LLC",TO ENGAGE IN ANY OR ALL LAWFUL ACTIVITIES FOR WHICH LIMITED LIABILITY COMPAN
"UMASS SPORTS PROPERTIES, LLC",SPORTS MARKETING
"UMAVISION, INC.","AFFILIATE MKT. - IT FAILED, I NEED TO CLOSE CORP."
"UMB INSURANCE, INC.",PROVIDES INSURANCE PRODUCTS TO CLIENTS
UMBELINA REALTY LLC,"TO ACQUIRE, PURCHASE, HOLD, IMPROVE, SELL, CONVEY, ASSIGN, RELEASE, MORTGAGE,"
UMBER CORPORATION,CONVENIENCE STORE
"UMBER SYSTEMS, INC.",SOFTWARE DEVELOPMENT
"UMBERTO DIGIOIA AND ASSOCIATES, INC.",SALES
UMBERTO TILE COMPANY LLC,"TO ENGAGE IN, TRANSACT AND CARRY ON THE BUSINESS OF TILE INSTALLATIONS AND P"
"UMBLE AVIATION ENTERPRISES, LLC","TO OWN AND OPERATE AIRPLANES FOR CHARTER OR OTHERWISE, AND ANY BUSINESS"
UMBRA MANAGEMENT LTD.,MANAGEMENT CONSULTING
"UMBRELLA HEALTH IT, LLC",CONSULTING - ELECTRONIC HEALTH SYSTEMS (EHR)
UMBRELLA IT SOLUTIONS INC.,IT CONSULTING AND SERVICES
"UMBRELLA MANAGEMENT ASSOCIATES, INC.",PROFESSIONAL SERVICE COMPANY
UMBRELLA REALTY LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS BUYING, ACQUIRING, OWNIN"
UMBRELLA SMILE CORP.,MANUFACTURES KEEPSAKE ART PIECES AND JEWELERY
"UMBRELLA, LLC",REAL ESTATE
"UMBRELLASHOP, LLC","THE GENERAL CHARACTER OF THE BUSINESS IS TO ENGAGE IN INVESTMENT IN, AND OW"
"L.B.E., INC.",RESTAURANT
UMBRO & SONS CONSTRUCTION CORP.,UNDER GROUND CONSTRUCTION
UMBULIZER LLC,BUILDING MEDICAL DEVICES FOR RESOURCE CONSTRAINED MARKETS
UMC GROUP(USA),SEMICONDUCTOR FOUNDRY
"UMCHK, INC.",RETAIL SALES OF MUSICAL INSTRUMENTS AND RELATED AC
"UXBRIDGE MULTI FAMILY REALTY, LLC",REAL ESTATE DEVELOPMENT
"UMG TECHNOLOGIES, INC.",MACHINE MANUFACTURING
"UMHOLTZ PLUMBING AND HEATING, INC.","PLUMBING WORK, HVAC SERVICES AND GAS PIPING"
UMI OF SAUGUS. INC.,TO OWN AND OPERATE A RESTAURANT BUSINESS.
"UMI PRODUCTS, INC.",BEAUTY PRODUCT SALES
"UMI RESTAURANT, INC.",RESTAURANT
"UMIAK LABS, LLC",TO DEVELOP AND MARKET SOFTWARE AND TO ENGAGE IN ANY OTHER LAWFUL ACTIVITY.
UMICORE ELECTRICAL MATERIALS USA INC.,MFG. SILVER-CONTAINING ELECTRICAL CONTACT MATERIAL
UMICORE PRECIOUS METALS USA INC.,SALES AND DISTRIBUTION OFFICE
UMICORE USA INC.,USA PARENT PROVIDING REGIONAL SUPPORT FUNCTIONS.
UMIYA CORPORATION,CONVENIENCE STORE
UMIYA MATAJI CORP.,CONVENIENCE STORE
UMIYAKRUPA CORP.,PACKAGE STORE
"UMLAUT COMMUNICATIONS, INC.",CONSULTING AND ENGINEERING SERVICES
"UMM HAULING, INC.",OPERATION OF A WASTE DISPOSAL BUSINESS
UMMAH HALAL FOOD INC.,ETHNIC HALAL MEAT AND GROCERIES STORE
"UMME, LLC",REAL ESTATE.
UMMO LLC,GRAPHIC DESIGN AND BRANDING SERVICES
"UMNV 123 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 125 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 126 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 166 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 175 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 205 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 205-207 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 207 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 211 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 240A NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 344 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 346 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 7 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 79 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV 8 NEWBURY, LLC","TO ACQUIRE, DEVELOP, IMPROVE, LEASE, MAINTAIN, OWN, OPERATE, MANAGE, MORTGA"
"UMNV INVESTOR, LLC","TO ACQUIRE, OWN, HOLD, MAINTAIN, MANAGE, OPERATE, FINANCE, PLEDGE, ENCUMBER,"
"UMNV MANAGEMENT, LLC",TO ENGAGE IN REAL ESTATE AND PROPERTY MANAGEMENT AND TO TRANSACT ANY AND
"UMNV NEWBURY STREET, LLC",TO BE THE GENERAL PARTNER AND/OR MANAGER OF VARIOUS LIMITED PARTNERSHIP AN
"UMNV PROMOTE, LLC","TO BE A LIMITED PARTNER OF BACK BAY RETAIL INVESTORS, LP AND TO ENGAGE IN ANY"
"UMNV SHOPPES DEVELOPER, LLC",TO ENGAGE IN REAL ESTATE AND PROPERTY MANAGEMENT AND TO TRANSACT ANY AND
"UMNV SHOPPES INVESTOR, LLC",TO ENGAGE IN REAL ESTATE AND PROPERTY MANAGEMENT AND TO TRANSACT ANY AND
"UMNV SHOPPES PROMOTE, LLC",TO ENGAGE IN REAL ESTATE AND PROPERTY MANAGEMENT AND TO TRANSACT ANY AND
"UMNV SHOPPES, LLC",TO ENGAGE IN REAL ESTATE AND PROPERTY MANAGEMENT AND TO TRANSACT ANY AND
UMOJA INVESTMENTS LLC,"REAL ESTATE - BUYING, SELLING, LEASING AND RENTING PROPERTY."
UMOYA CONSULTING LLC,INFORMATION TECHNOLOGY CONSULTING SERVICES
UMPACHENE CORP.,REAL ESTATE RENTALS
"UMPHREY ENGINEERING, LLC","HVAC, PROFESSIONAL ENGINEER"
UMPIRE PROPERTIES LLC,RENTAL PROPERTY MANAGEMENT
"UMR, INC.","EMPLOYEE BENEFIT PLAN ADMINISTRATOR, THIRD PARTY A"
"UMS ANDOVER SURGICAL MANAGEMENT, INC.",MANAGEMENT SERVICES
"UMS LITHOTRIPSY MANAGEMENT, LLC",MOBILE MEDICAL SERVICES
UMS LITHOTRIPSY SERVICES OF BRISTOL,MOBILE MEDICAL EQUIPMENT SERVICES
UMS LITHOTRIPSY SERVICES OF CENTRAL,MOBILE MEDICAL EQUIPMENT SERVICES
UMS LITHOTRIPSY SERVICES OF EASTERN,MOBILE MEDICAL SERVICES
UMS LITHOTRIPSY SERVICES OF ESSEX,MOBILE MEDICAL EQUIPMENT
UMS LITHOTRIPSY SERVICES OF,MOBILE MEDICAL EQUIPMENT
UMS LITHOTRIPSY SERVICES OF MERRIMACK,MOBILE MEDICAL SERVICES
UMS LITHOTRIPSY SERVICES OF THE PIONEER,MOBILE MEDICAL SERVICES
UMS LITHOTRIPSY SERVICES OF THE SOUTH,MOBILE MEDICAL EQUIPMENT
UMS LITHOTRIPSY SERVICES OF WESTERN,MOBILE MEDICAL EQUIPMENT
UMS LITHOTRIPSY SERVICES OF WORCESTER,PROVIDE MOBILE MEDICAL EQUIPMENT SERVICES
"UMS MR FUSION SERVICES OF NEW ENGLAND,",PROVISION OF MOBILE MEDICAL EQUIPMENT
UMS NEW ENGLAND LITHOTRIPSY LIMITED,MOBILE MEDICAL SERVICES
"PORTICUS TECHNOLOGY, INC.",BIOMETRIC SECURITY SOFTWARE
"UMTEC, INC.","SALES REP, LOGISTIC AND CONSULTATION SERVICE"
UMUJA LLC,"SERVICES, ENTERPRENEUR"
"UMUOJI IMPROVEMENT UNION, MASSACHUSETTS, INC.",PURSUING PROJECTS TO BETTER THE LOT OF UMUOJIANS
UMW INVESTMENT GROUP LLC,TO POOL RESOURCES FROM THE MEMBERS TO MAKE AN INVESTMENT INTO A PRIVATE B
"UMW, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO OWN AND MAINTAIN REA
NU ENGINEERING SOLUTIONS INC.,ENGINEERIING DESIGN CONSULTING
"UN POTATO, INC.",COMMUNITY WELLNESS
UN-GYVE LIMITED,DESIGN/PRODUCTION/PUBLISHING/MARKETING SERVICES
"UNADILLA, INC.",FULL SERVICE RESTAURANT
"UNAGI INVESTMENTS MANAGEMENT, INC.",REAL ESTATE
"UNAGI INVESTMENTS, LLC","OWNING, OPERATING AND MANAGING A RESTAURANT."
"UNAGI SERVERS, INC.",RESTAURANT
UNAM-USA,UNAM USA IS AN INSTITUTION OF HIGHER EDUCATION
INTERNATIONAL UNIVERSITY ALLIANCE,THE INTERNATIONAL UNIVERSITY ALLIANCE PROMOTES INTERNATIONAL EDUCATION
UNBORN MEDIA RECORDS LLC,RECORD LABEL: TO ENGAGE IN THE ACTIVE SEARCH AND DISCOVERY OF PUBLICLY
PUREVOLUME INC.,INTERNET AND MUSIC
"UNBOUND TECH, INC.",SECURITY SOFTWARE
"UNBOUNDED LEARNING, INC.",TO SUPPORT THE PRACTICE AND LEARNING OF EDUCATORS
UNBREAKABLE LOCK INC.,LOCKSMITH SERVICES
UNBRIDLED SPIRIT ARTWORK LLC,CREATION AND SALE OF ARTWORK.
"UNC PARTNERS, INC.",BUSINESS CONSULTING
UNC PROPERTIES LIMITED PARTNERSHIP,REAL ESTATE
"PANGEA BRANDS, LLC","MANUFACTURE AND SALE OF APPAREL, APPLIANCES AND ACCESSORIES"
"UNCAS INVESTMENTS, LLC",INVESTMENT
UNCATENA LLC,COMMERCIAL REAL ESTATE
"THE CATERED AFFAIR, INC.","FULL SERVICE, OFF PREMISE CATERING BUSINESS"
UNCHAINED LABS,PRODUCTION OF BIOLOGIC TOOLS
"UNCHAINED, LLC","TO OWN, LEASE, MANAGE, BUY, AND SELL REAL ESTATE; TO OWN MANAGE AND MORTGA"
UNCHARTED GALLERY & STUDIOS LLC,"ART GALLERY, CAFE (WITH BEER AND WINE), AND NON-RESIDENTIAL WORKSPACE FOR VI"
"DJE, INC.",ADMINISTRATION
UNCLAIMED PROPERTY RECOVERY AND,RECOVERY AND REPORTING OF UNCLAIMED PROPERTY
"UNCLE AL PRODUCTION SERVICES, INC.",ENTERTAINMENT PRODUCTION
"UNCLE AL'S CARPENTRY SERVICES, INC.",FINISH CARPENTRY/HANDYMAN SERVICES
"UNCLE BENZ, INC.",AUTO REPAIR
"LIFE STORAGE SOLUTIONS, LLC",TRUCK RENTAL AND STORAGE MERCHANDISE
"UNCLE EDDIE'S, INC.","BAR, DRINKING ESTABLISHMENT."
"UNCLE JAY'S ENTERPRISES, LLC",REAL ESTATE
"UNCLE JAY'S TWISTED FORK, INC.",RESTAURANT
"UNCLE KOSTAS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO (A) ENGAGE IN THE
UNCLE LARRY'S TAVERN L.L.C.,BAR/TAVERN
"UNCLE NED'S FISH FACTORY, INC.",RETAIL
"UNCLE NINO'S RESTAURANT, INC.",SUBSHOP DELI
"CAB24, INC.",TAXI - DELIVERY SERVICE
UNCLE PETE'S HICKORY RIBS INC.,RESTAURANT
"UNCLE ROBERT'S STONE HOUSE, LLC",VACATION RESIDENTIAL RENTAL BUSINESS
"UNCLE SAM'S AUTO CENTER, INC.",AUTOMOBILE BODY REPAIR SHOP
"UNCLE SAM'S FAMILY, INC.",RESTAURANT
"UNCLE SAM'S PIZZA, INC.",RESTAURANT SERVING FOOD AND BEVERAGE
"UNCLE SAM'S PLUMBING HEATING, LLC",PLUMBING AND HEATING SERVICE.
"SPIRIT OF STONEY O'BRIEN, INC. THE",BAR AND RESTAURANT
"UNCME, LLC",REAL ESTATE DEVELOPMENT
UNCOMMON ADORNMENTS INC.,RETAIL SALES OF JEWERY
UNCOMMON BRANCH LLC,"TO PROVIDE CUSTOM SOFTWARE CONSULTING SERVICES, SALE OF SOFTWARE, ONLINE S"
"WICKED GOOD COOKIES, INC.",COOKIE FAVORS AND GIFTS
"UNCOMMON CATALYST, INC.","IT SERVICES, STRATEGY CONSULTING"
"UNCOMMON CLARITY, INC.",MANAGEMENT CONSULTING
"UNCOMMON COCOA, LLC","THE PURCHASE, PROCESSING, EXPORTING, IMPORTING, BROKERAGE AND SALE OF COCO"
"UNCOMMON CRAFTSMEN, INC.",HOME RENOVATION
UNCOMMON PRODUCTIONS LLC,INDEPENDENT FILM PRODUCTION COMPANY
"UNCOMMON SCHOOLS, INC.",EDCUCATION
