REENERGY ROXBURY INC.,WASTE MANAGEMENT
"RA PHARMACEUTICALS, INC.",A CLINICAL-STAGE BIOPHARMACEUTICAL COMPANY
"ROSS & COMPANY EXECUTIVE SEARCH, LLC",EXECUTIVE RECRUITING
"ROASTMEISTERS COFFEE, LLC",CAFE; COFFEE AND COFFEE-RELATED BEVERAGES.
"ROBERT A. SHUMAN & ASSOCIATES, P.C.",PRACTICE OF LAW
"ROBI TOOL SALES,INC.","TOOL & FASTENER SALES , REPAIR"
"RYAN ASPHALT PAVING, LLC",ASPHALT PAVING
RREF II KENMORE LESSOR IV LLC,REAL ESTATE INVESTMENT
"RICHLAND FOODS, INC.",CONVENIENCE STORE
ROBYN POWELL-CONSULTING LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN ALL ASPECTS
RENEW DATA CORP.,DATA RECOVERY
"RPA, LLC",REAL ESTATE
"ROMA REALTY, INC.",RENTAL REAL ESTATE PROPERTIES
"REVCLICK, LLC",SALES AND MARKETING CONSULTING SERVICES
"REIKI RADIANCE, LLC",CONSULTING/TEACHING
REBEL SMOKE LLC,RETAIL STORE - STOREFRONT SALES - TOBACCO STORE
"RUSSELL SIMPSON, INC.",GENERAL CONSTRUCTION MANAGEMENT
RENOVA PARTNERS LLC,BROWNFIELD REMEDIAL AND REDEVELOPMENT CONSULTING
"ROPAUL, INC.",AUTOMOBILE/MOTOR VEHICLE
REBEL BUILDERS LLC,DESIGN AND CONSTRUCTION MANAGEMENT SERVICES FOR RESIDENTIAL REMODELING.
RE LEARNING LAB LLC,REAL ESTATE EDUCATION SERVICES
"ROCHA LANDSCAPE & PAINTING, INC.",LANDSCAPE & PAINTING
"RISING DESIGN & ENGINEERING, INC.",CONSULTING - MECHANICAL DESIGN
RYKOR CONCRETE & CIVIL INC.,CONCRETE CONSTRUCTION
RCG 242 MAIN LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
REAL ESTATE BOSTON LLC,RENTAL REAL ESTATE
"REMO SRB, INC.",FAST FOOD/ PIZZA ROAST BEEF ESTABLISHMENT
"RIVERHILL INVESTMENTS, LLC",TO ACQUIRE AND SELL EQUITIES AND OTHER INVESTMENTS AND TO ENGAGE IN ANY LA
"RUSHLIGHT REALTY, LLC",REAL ESTATE
"RENAUD BROS., INC.",CONSTRUCTION
"ROSSI ENGRAVING, INC.","WE ENGRAVE METAL PLATES & GIFTS, AND WE SELL THEM"
R&L FINANCIAL GROUP LLC,PROFESSIONAL FINANCIAL SERVICES
ATHOL SALES ASSOCIATES INC.,REAL ESTATE BROKERAGE
"ABEL WOMACK, INC.","SALE, SERVICE AND RENTAL OF INDUSTRIAL EQUIPMENT."
"R & D ALLIANCE, LLC",REAL ESTATE
"RWB MASONRY, INC.",MASONRY CONTRACTOR
RRRE LLC,REAL ESTATE MANAGEMENT
RPV NEW CLEANING CORP,JANITORIAL
"ROUNDGRILLE, INC.",FULL SERVICE RESTAURANT
RED DIAMOND CORPORATION,PROVIDE GENERAL MASSAGE SERVICE
"REAPS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS TO PROVIDE PRODUCT
"RAM CLARENDON, LLC",THE TRANSACTION OF ANY AND ALL LAWFUL BUSINESS UNDER THE LAWS OF THE COMM
"R & R INSURANCE AGENCY, INC.",INSURANCE SALES
RIVERRUN 177 COOLIDGE LLC,"THE COMPANY IS ORGANIZED TO (A) DEVELOP, IMPROVE, MAINTAIN, OWN, OPERATE, LEA"
ROUTE TO FITNESS INCORPORATED,HEALTH AND FITNESS
RELX INC.,Address (no PO Box)
"RINA, INC.","OPERATE HOTEL/MOTEL, HOSPITALITY/LODGING SERVICE"
"RBG INTERIORS, INC.",CONSTRUCTION
REODAVIS LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN INVESTMENT
"REDEMPTION ROCK BREWERY, LLC",MANUFACTURING - BREWERY
"RICHARD E CLARKE, INC.",GENERAL CONTRACTOR
"RODRIGUEZ BROTHERS, INC.",TRANSPORT
"ROBIN AND RATHA, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN INVESTMENT I
"ROUND BALL, LLC",REAL ESTATE BUILDING
"R.D.C. COMMUNICATIONS, INC.",TWO WAY RADIO SALES & SERVICE
"RUSI, INC.",RETAIL CONVENIENCE STORE
RDM KELSEY LLC,TO PURCHASEACQUIRE AND DEVELOP REAL ESTATE AND TO CONSTRUCT RESIDENTIAL D
"RAWSON AUTO BODY, INC.",AUTO BODY REPAIR AND REFINISHING
"RESENDES RESIDENTIALS, LLC",REAL ESTATE DEVELOPMENT; AND TO DO OR CAUSE TO HAVE DONE ANY AND ALL SUCH
"RON MULERO, LLC",TECHNOLOGY: WEBSITE AND SMARTPHONE APPLICATION DEVELOPMENT
"R & S HOLDINGS, L.L.C.",PROVIDE COMMERCIAL AND RESIDENTIAL ASPHALT SERVICES
"RIVER ROAD VETERINARY HOSPITAL, INC.",VETERINARY HOSPITAL
"K & S AUTO SALES, INC.",CAR SALES AND REPAIR
RESYNERGY SYSTEMS LLC,RESYNERGY SYSTEMS IS A TECHNOLOGY / ENERGY COMPANY ORGANIZED TO PROVIDE R
RC CONSTRUCTION & CLEANING INC,CONSTRUCTION AND CLEANING SERVICES
CR 2018 LLC,REAL ESTATE
"RICHARD L. BLACK, INC.",PLUMBING & HEATING
"THE RENOVATOR OF BERKS COUNTY, LLC",GENERAL CONTRACTOR
RPS RENOVATION AND CLEANING INC,CLEANING
RODENBERGER LLC,MANAGEMENT OF REAL ESTATE FOR INVESTMENT PURPOSES.
RIVER'S EDGE LIMITED PARTNERSHIP,THE PURPOSES OF THE PARTNERSHIP ARE AS FOLLOWS: (A) TO INVEST IN REAL ESTATE IN
"RZ MANAGEMENT, INC.",MANAGEMENT COMPANY
"ROGERS INDUSTRIES, LLC","COMMERICAL PAINTING, DRYWALL, FRAMING, CARPENTRY, FLOORING, CARPETING,TILE"
RUM REALTY II LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN ALL GENERAL
"REYMOR TRANSPORTATION, INC.",TAXI CAB COMPANY SERVICE
"RELIABLE MORTGAGE, INC.",MORTGAGE BROKER
REEL TYME PROPERTIES LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC SHALL BE THE ACQUISITION, DE"
RICHARD C. BARDI & ASSOCIATES LLC,TO ENGAGE IN THE GENERAL PRACTICE OF LAW AND IN ANY AND ALL ACTIVITIES DIRECT
RACHEL FERNANDES MARTINS INC,CLEANING SERVICES
AMERICAN INSURANCE BROKERS CORPORATION,INSURANCE
RENAISSANCE LIMO SERVICES LLC,LIMO SERVICES
"RESONDE, INC.",RESEARCH AND DEVELOPMENT
"RYAN DESIGN GROUP, LLC",INTERIOR DESIGN AND HOME FURNISHINGS
"RTC NEW STREET, LLC",MANAGE REAL ESTATE
REDDS SUDS AND BUBBLES INC,SERVICES - LAUNDROMAT SERVICES
"RITTER & PARATORE CONTRACTING, INC.",DEMOLITION AND SITE DEVELOPMENT
REARDON H.V.A.C. CORPORATION,HEATING AND AIR CONDITIONING
"ROMA RESTAURANT GROUP, LLC",TO ENGAGE OF THE BUSINESS OF RESTAURANT AND LOUNGE TO ENGAGE IN ACTIVITIES
"RAM'S TRANSPORT, INC.",RAM'S TRANSPORT INC
"RAMIREZ GROCERY, INC.",GROCERY AND VARIETY STORE
"R-KEOUGH CONSTRUCTION, CO.",CONSTRUCTION CONSULTING FIRM
REHAB BUILDERS LIMITED PARTNERSHIP,"TO ENGAGE IN THE BUSINESS OF MANUFACTURING, REBUILDING, REHABBING, CONSTRU"
RSM VENTURES LLC,"ONLINE COACHING, COMPETITIVE ATHLETICS, AND ASSOCIATED SERVICES."
"THE RESEARCH GROUP, INC.",MARKETING RESEARCH AND MAILING
"READIBANK PROPERTIES, INC.",ACQUIRING AND MANAGING INTEREST IN REAL PROPERTY
"REP HOLDCO, INC.",INVESTMENTS AND OTHER LAWFUL BUSINESS ACTIVITIES.
RHM INTERNATIONAL LLC,THE PURPOSE OF THE COMPANY IS TO ENGAGE IN LEGAL COMMERCIAL ACTIVITIES SUCH
THE RUNAMUCK BAKER LLC,THIS BUSINESS WILL PROVIDE GLUTEN FREE BAKED GOODS TO VARIOUS VENDORS AND P
"REDWOOD FINANCIAL SERVICES, INC.",MORTGAGE BROKER
"RIGHT TURN ONLY, LLC",DEVELOPMENT OF REAL ESTATE
RIDGELINE INC.,TREE SERVICES
"ROBERT J. BRADSHAW, LLC","MUSIC COMPOSITION, ARRANGING, RECORDING, VIDEO, AND PUBLISHING."
ROUHANA LLC,BUYING USED CARS
"RIVAS PROPERTIES, LLC","PURCHASE,SELL, RENT, MANAGE RESIDENTIAL AND COMMERCIAL PROPERTIES."
"REP REALTY ADVISORS, LLC",TO SERVE AS A REAL ESTATE BROKER FOR COMMERCIAL SALE AND LEASING TRANSACTI
R E MIDDLETON CUSTOM BUILDING &,RESIDENTIAL REMODELING
"REASSURANCE, INC.",NON-RESIDENT INSURANCE AGENCY
"REAL TIME EXECUTIVES, INC.",COMPUTER CONSULTING
RHM HOLDINGS LLC,MERGERS AND ACQUISITIONS OF FINANCIAL ADVISORY PRACTICES.
HEALTH DATA SERVICES CORPORATION,DATA ACQUISITION SERVICES
"ROUTE ONE SAUGUS, LLC",OWN AND MANAGE COMMERCIAL REAL ESTATE.
"ROLLO CAPITAL MANAGEMENT, LLC",TO SERVE AS MANAGER FOR INVESTMENT FUNDS AND ENGAGE IN RELATED ACTIVITIES.
"RADCLIFFE REALTY, LLC",REAL ESTATE PROPERTY MANAGEMENT
"RYAN & MARTIN, LLC","#THE PURPOSES FOR WHICH THE COMPANY IS FORMED ARE TO ACQUIRE, HOLD, OWN, IM"
"ROBERT J. PLUNKETT, JR., INC.",TITLE EXAMINATIONS
R & C MARKET INC.,RETAIL SALES
RADIUS ETHAN OPERATING CORPORATION,MANAGEMENT COMPANY
"R&E CLEANING SERVICES, INC.",CLEANING SERVICES
ROCK HILL ROAD LLC,"REAL ESTATE OWNERSHIP, MANAGEMENT AND DEVELOPMENT."
RDN CLEANING SERVICE CORPORATION INC.,CLEANING SERVICES
"RECOVERCARE, LLC",RENTAL AND SALE OF DURABLE MEDICAL EQUIPMENT
REDWHITE LLC,"TO CONDUCT A GENERAL FOOD SERVICE BUSINESS, INCLUDING THE PREPARATION AND"
"R & R FABRICS, INC.",WHOLSALE DISTRIBUTOR
ROSES USA CLEANING INC,CLEANING
"RATTLESNAKE CORPORATION, THE",REAL ESTATE MGMT
"RELATED BEAL MANAGER, LLC",REAL ESTATE RELATED
"REPAIRS UNLIMITED, INC.",AUTOMOTIVE REPAIR AND ALL OTHER LAWFUL PURPOSES
"ROC DEBT STARTEGIES II MORTGAGE CAPITAL, INC.",LENDER/BROKER
RCK TRANSPORTATION INC,PASSENGER TRANSPORTATION SERVICES
"R & B BAGEL, INC.",WHOLESALE BAGEL BAKERY
ROMAC PROPERTIES LLC,"TO ACQUIRE, SELL, LEASE, RENT AND REHABILITATE RESIDENTIAL AND COMMERCIAL PR"
"ROWLEY PHARMACY, INC.",RETAIL PHARMACY
RECYCLING TECHNOLOGIES LLC,RECYCLING
"RIVERWAY SQUARE UNIT 17, LLC",TO OWN AND OPERATE REAL PROPERTY AND TO ENGAGE IN ANY ACTIVITIES DIRECTLY O
R&B LANDSCAPE CONTRACTING INC.,LANDSCAPE CONTRACTOR
"BELLA CAPELLI WEST, LLC",BEAUTY SALON
"REIDY'S PIZZERIA, INC.",SMALL PIZZA SHOP
"RIPRO COATINGS, LLC",SPECIALITY PAINTING CONTRACTOR.
"RICHARD G. SALERNO,M.D.,P.C.",PHYSICIAN'S OFFICE
RENEW.COM INSURANCE SERVICES LLC,INSURANCE SALES AND MARKETING BY TELESALES AND ONLINE
"RN LANDSCAPING MANAGEMENT COMPANY,",LANDSCAPE CONSTRUCTION
RANDA SVS INC,CONSULTING
"RIVER MORTGAGE, INC.",MORTGAGE CORPORATION
"RD PMD, LLC",COMMERCIAL REAL ESTATE
"RIMMA KOVALCIK, PSY.D.",THERAPIST
"RECOURSE COMMUNICATIONS, INC.",RECRUITING SERVICES
RGO MEDIA LLC,EMAIL ADVERTISING
"R. J. POIRIER CONTRACTOR, INC.",CONTRACTOR
"ROUTEMATCH SOFTWARE, INC.",TRANSPORTATION SOFTWARE AND TECHNOLOGY SERVICES
"RETAIL TECHNOLOGY GROUP, INC.",SALES AND REPAIR SERVICES OF POS COMPUTER SYSTEMS
REAL ESTATE INVESTOR DNA LLC,PROFESSIONAL CONSULTING
R & S TRANSPORTATION INC.,TRANSPORTATION
ROBERTSON'S HOLDING CORP.,HOLDING CORP
"RENAISSANCE WEALTH ADVISORS, LLC",INVESTMENT ADVICE AND RELATED ACTIVITIES
"RAN-LIN, LLC",TO OWN OR LEASE REAL ESTATE AND DO ANYTHING LAWFULLY PERMITTED TO LLCS IN
RECURSIS INC.,RECURSIS INC.
"R. DESANTIS, JR. & SONS, LLC","EXCAVATING, TRUCKING,SEPTIC SYSTEMS,VAULTS AND CONCRETE PRODUCTS"
REARDON COTTAGE STREET LIMITED,"TO PURCHASE, ACQUIRE, BUY, SELL, OWN, TRADE IN, HOLD, DEVELOP, LEASE, MANAGE, S"
"RELATED DISTRESSED FEEDER AIV XI, INC,",CORPORATE BLOCKER ENTITY
"RI REAL ESTATE SERVICES, L.L.C.",BROKER REAL ESTATE TRANSACTIONS
"ROSCOMMON HEALTHCARE WEST ROXBURY, INC.",NURSING HOME
RICHMOND GUILFORD DEVELOPMENT LLC,REAL ESTATE DEVELOPMENT
"RANDOLPH AUTO CLINIC, INC.",AUTO REPAIR
"R.C. RESKER HOLDINGS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS TO (I) ENGAGE IN THE
"REVOLUTION, INC.","RETAILS SALES USED MUSIC AND MOVIES, CDS RECORDS"
"RICHLINE GROUP, INC.",WHOLESALE JEWELRY SALES & JEWELRY MANUFACTURING
REXAM PRESCRIPTION PRODUCTS INC.,MANUFACTURER OF PLASTIC CONTAINERS & DEVICES
"RJC, LLC",REALESTATE
ROCKPOINT LLC,"TO PROVIDE FACILITIES, GOODS, AND SERVICES IN SUPPORT OF INDOOR ROCK CLIMBING"
RLV GROUP LLC,PRIVATE INVESTMENTS
REVERE NEIGHBORHOOD DEVELOPERS LLC,REAL ESTATE DEVELOPMENT
"THE RELATED COMPANIES, INC.",REAL ESTATE INVESTMENTS
"ROMAT, INC.",TO OWN AND OPERATE COIN-OPERATED LAUNDRIES
"ROCKET FARM STUDIOS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS: TO ENGAGE IN CONSU
"ROMA CONSULTING, LLC",TO OFFER GEOTECHNICAL CONSULTING SERVICES AND ANY BUSINESS RELATED THERET
RINDALA DESIGN LLC,ARCHITECTURAL AND DESIGN SERVICES
REBEL REAL ESTATE LLC,"THE PRIMARY CHARACTER OF THE BUSINESS OF THE LLC IS TO INVEST IN, HOLD AND MA"
"RALPH'S GARDEN, LLC",RETAIL STORE - STOREFRONT SALES - GARDENING SUPPLIES
"ROUTE 3 GAS, INC.",GAS STATION & AUTO REPAIR
"RISING INTO LIGHT, LLC","RISING INTO LIGHT, LLC, IS A SPIRITUALLY-BASED ORGANIZATION THAT HAS A HOLY PUR"
ROTECH HEALTHCARE INC.,SELL/ RENT RESPIRATORY AND DME SERVICES.
RUDE SPORT INC.,"PROMOTING MOTORIZED/NONMOTORIZED SPORTS, REPAIRS"
"REPCON, INC.",INDUSTRIAL SERVICES
"RAFFAELE CONSTRUCTION, CORP.",CONSTRUCTION
"ROBJAY, INC.",HAIR SALON
"ROFFI, INC.",FULL SERVICE SALON
"RBP-1, LLC",THE PURPOSE OF THIS ENTITY IS TO CARRY ON ANY ACTIVITY ALLOWED BY LAW INCLUD
R.G.A. CORPORATION,GAS STATTION
RJS VENTURES CORP.,RJS VENTURES INC.
"BEE, LLC","THE GENERAL CHARACTER OF THE BUSINESS IS TO DEVELOP, PRODUCE, MARKET AND/OR"
"RICHMOND BMP INVESTMENTS, LLC",INVESTMENTS
"REMA'S BEAUTY & WELLNESS, LLC","TO OWN, MANAGE, AND OPERATE A BUSINESS ENGAGED IN PROVIDING BEAUTY AND WE"
"RESTAURANT PAYSERVE OF AMERICA, LLC",PAYROLL SERVICES
"RIDING TAX & ACCOUNTING, INC.",TAX AND ACCOUNTING SERVICE
"REEBOK CHC, INC.",OWNERHSIP OF CABLE FITNESS CHANNEL AND THE DEVELOP
"REYES PLUMBING AND HEATING, LLC",THE GENERAL PURPOSES OF THE COMPANY IS PROVIDING PLUMBING AND HEATING PRO
"RED PANDA SECURITY, INC.",TECHNOLOGY CONSULTING AND DEVELOPMENT SERVICES
RBW ENTERPRISES LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE L.L.C. CONTINUES TO BE TO ENGAGE
"RIVERS PAINTING & HOME IMPROVEMENT, INC.","CUSTOM PAINTING, GENERAL HOME IMPROVEMENT, REPAIR"
"R. MARK RUSHING AND ASSOCIATES, INC.",LIFE INSURANCE
ROXBURY TECHNOLOGY HOLDING CORPORATION,MANUFACTURER AND DISTRIBUTOR OF TONER CARTRIDGES
"ROSEN EDUCATION, LLC","CONSULTING - EDUCATION, ASSESSMENT, ONLINE LEARNING"
RED LINE FREIGHT SYSTEMS CORPORATION,RED LINE FREIGHT SYSTEMS
"RICHARD P. INNIS PAINTING CO., INC.",PAINTING
RUSS TODD SALES ASSOCIATES INC.,CONSULTING - SALES AND MARKETING
"RESENDES FAMILY AUTOMOTIVE ENTERPRISES, LLC",AUTO REPAIR
"R & B KARRASCH, LLC",ACQUISITION/DEVELOPMENT/RENTAL OF COMMERCIAL REAL ESTATE
"RICHMOND 23 CONCORD, LLC",REAL ESTATE DEVELOPMENT
"RISTORANTE MARINO, INC.",RESTAURANT
"RENGA CONSULTING, INC.",EDUCATION CONSULTING
"ROCKOFF II, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE PRACTICE
RJSIP28 LLC,"OWN AND OPERATE REAL ESTATE, AND TO ENGAGE IN ANY LAWFUL ACTIVITY FOR WHIC"
"R. B. MORIN & ASSOCIATES, LLC",TO PROVIDE FINANCIAL PLANNING SERVICES AND INVESTMENT ADVISORY SERVICES.
"RELATION INSURANCE SERVICES OF CALIFORINA, INC.",INSURANCE
"RAFFERTY & FAMILY ENTERPRISES, LLC",SMALL PACKAGE DELIVERY SERVICES
REIS SERVICES INC,PAINTING
"RDDR, LLC",REAL ESTATE RENTALS
"RUSSELL INVESTMENTS FINANCIAL SERVICES,",THE EFFECTING SECURITIES TRANSACTIONS AS PRINCIPAL OR AGENT
"RENMORE, LLC",TO OWN AND HOLD REAL ESTATE.
"RANDSTAD FEDERAL, LLC",HR SERVICES PROVIDER
SEAN P CANTY LLC,WEB SERVICES
"RICE NORTH ANDOVER, LLC","THE LLC WAS ORGANIZED TO CONSULT, ACQUIRE, HOLD FOR INVESTMENT, MANAGE,"
HARBAR LLC,"THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO MANUFACTURE, SELL AN"
REMUDA JET TWO LLC,AIRCRAFT LEASING.
ROCKMERE PROPERTIES LIMITED PARTNERSHIP,REAL ESTATE
REZENDES FAMILY LIMITED PARTNERSHIP,SHALL BE TO ACQUIRE SUCH INTERESTS IN REAL PROPERTY OR INTERESTS IN ENTITIES
"RESIDENCE INN BY MARRIOTT, LLC",MANAGEMENT AND PAYROLL COMPANY
"RICHARD F FERRUCCI & ASSOCIATES, LLC",SURETY
ROSLINDALE AVENUE LLC,REAL ESTATE INVESTMENT
"RENO RETAILERS, LLC",HARDWARE RETAIL STORE
ROMPER ROOM FAMILY CHILD CARE LLC,CHILD CARE
"ROBERT F. TRINCERI ASSOCIATES, INC.",INSURANCE ADJUSTERS
"REGULATORY COMPLIANCE, LLC",CONSULTING TO BROKER/DEALERS AND INVESTMENT ADVISORS
"ROCHE ASSOCIATES, INC., THE",MARKETING/CONSULTING TO THE SENIOR HOUSING INDUSTR
"REPUBLIC SERVICES ALLIANCE GROUP, INC.",SOLID WASTE MANAGEMENT
"RISTORANTE GIOIA, INC.",RESTAURANT/ TAVERN
ROYAL PARK LLC.,MULTI-FAMILY RENTAL PROPERTY
"R.D.R. CONSTRUCTION, LLC",BUILDING & REMODELING
"ROBONICA HOLDINGS, INC.",HOLDING COMPANY
RARE DISEASE PERSPECTIVES LLC,"COMMUNICATIONS, MARKETING AND OUTREACH CONSULTING TO THE PHARMACEUTICA"
R & P CLASSIC HOMES LLC,REAL ESTATE INVESTMENT
RFD REMODELING INC,"INSTALLATION OF WINDOWS, DOORS, SIDING, PAINTING"
RE TECHNOLOGIX INC.,REAL ESTATE TECHNOLOGY RESEARCH AND DEVELOPMENT CO
RM CONSTRUCTION & PROPERTY,"GENERAL CONTRACTOR AND REMODELING SERVICES, AS WELL AS PROPERTY MANAGEM"
"RICHARD BRADLEY ASSOCIATES, INC.",COMMERCIAL RENTAL
"RANGELY, INC.",RESTAURANT
ROCKWOOD HOMES INC.,"ACQUISITION, MANAGE, LEASE, DEVELOP AND SELL PROP."
"RAWCO, INC.",REAL ESTATE INVESTMENT
"RENRUT, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE INVESTME
"R.L MCKAY PLUMBING AND HEATING, LLC",PLUMBING AND HEATING
"REFRIGERATION SERVICES GROUP, INC.",HVAC SERVICES COMPANY
RIO PARTNERS LLC,"CONSTRUCTION, DEMOLITION"
REGENCY PLAZA ASSOCIATES LIMITED,REAL ESTATE MANAGEMENT
R. B. LEASING AND LOAN,LEASING EQUIPMENT
"REKENER, INC.",DEVELOP AND SELL SOFTWARE
RURAL CELLULAR CORPORATION,COMMUNICATION SERVICES & EQUIPMENT
REDCOATS LTD.,RETAIL SALES-ANTIQUES
RIVER BEND INC.,FARMING & AGRICULTURAL
"REDWOOD CAPITAL GROUP, LLC",MORTGAGE BROKER
RESIDENTIAL SERVICES LLC.,"HEATING, AIR CONDITIONING, SOLAR AND WIND ENERGY SERVICE AND INSTALLATION."
ROWE FAMILY LLC,OWNERSHIP AND RENTAL OF COMMERCIAL REAL ESTATE
"RAM CONSTRUCTION SERVICES OF MICHIGAN, INC.",RAM CONSTRUCTION SERVICES
RAJA'S TOBACCO LLC,RETAIL STORE - STOREFRONT SALES (SMOKE SHOP)
"ROUSSEAU & MARINO, P.C.",LEGAL SERVICES.
"RESOURCE MANAGEMENT, INC.",PAYROLL SERVICE COMPANY
"ROBERT MARCOTTE UNIVERSAL PAINTING,INC.",CONSTRUCTION AND PAINTING CONTRACTOR
"REALLY COMPANIES, INC.",GENERAL PAINTING AND CONTRACTORS
RASHER CONSTRUCTION AND DESIGN INC.,CONSTRUCTION
"RICHARD PAUL, INC.",CANDLE SALES
RYE LLC,REAL ESTATE MANAGEMENT
"ROACH & CARPENTER, P.C.",LEGAL SERVICES
"ROSA'S CANDIES, INC.",MANUFACTURE-FUDGE
"RED HILL CONSUMER GP, LLC",INVESTMENT
FERENTINOS DESIGN LLC,FURNITURE AND INDUSTRIAL DESIGN.
"RICHARD & RICHARD CONSTRUCTION CO., INC.",CONSTRUCTION
THE ROASTED GRANOLA LLC,TO PRODUCE AND SELL FOOD PRODUCTS; TO ENGAGE IN ANY ACTIVITIES DIRECTLY OR I
ENSR INTERNATIONAL CORPORATION,HOLDING COMPANY
"R.I. SEEKONK HOLDINGS, LLC",REAL PROPERTY DEVELOPMENT
RIPTIDE OUTFITTERS INC.,WEB BASED FISHING TACKLE SUPPLY
"REAL WIRELESS, INC.",SALE OF CELL PHONES AND CELL PHONE ACCESSORIES
ROCHESTER DAVIS-FETCH CORP.,COMMERCIAL CONSTRUCTION
"RICHARD J. MCNULTY, D.M.D., P.C.",DENTAL PRACTICE
"RVF CAB, INC.",TAXI SERVICE
"R & R REPAIR, LLC",AUTOMOTIVE REPAIR
"ROSEVIEW PARTNERS EVERGREEN RESIDUAL,",INVESTMENT ENTITY FOR RESIDUAL PROFITS
"RED ROCK FOOD CONCEPTS, INC.",RESTAURANT
"REMY MANAGEMENT, LLC",FULL SERVICE RESTAURANT MANAGEMENT
"RE RESTORATION, LLC",RE PROPERTIES RESTORATIONS
"RENTAL MAX, INC.",CAR RENTALS AND SALES
"ROMAN RECORDS, INC.",ENTERTAINMENT
"ROBERT L. VAN UITERT, M.D., P.C.",HEALTH CARE - PHYSICIAN SERVICES
"RICHMOND TREE FARM, INC.","RICHMOND SAND AND GRAVEL, INC"
ROBERT DOW PROPERTIES LLC,"ACQUISITION, MANAGEMENT, DEVELOPMENT AND LEASING OF REAL ESTATE"
"REICOA, INC.","REAL ESTATE INVESTMENT, DEVELOPMENT AND BROKERAGE"
ROTARY DEVELOPMENT LLC,TO ENGAGE IN REAL ESTATE RELATED TRANSACTIONS AND ANY OTHER ACTIVITY PERMIT
"RPD-SALS, LLC",REAL ESTATE
"RGT ENTERPRISES, INC.",COMMERCIAL ROOFING
"REI DA PICANHA & EVENTS INC.,",RESTAURANT AND CATERING
RAYTHEON SYSTEMS INTERNATIONAL COMPANY,PROGRAM MANAGEMENT
RWE CORP.,TO SERVE AS THE GENERAL PARTNER OF A PARTNERSHIP
ROB KILGORE REAL ESTATE LLC,"SALES, MARKETING, MANAGEMENT AND LEASING OF REAL PROPERTY."
RIPTIDE FINISHES INCORPORATED,PAINTING CONTRACTOR
RCB SERVICES INC,SALES CONSULTANT
"ROWDEN, LLC",FOOD SERVICE BUSINESS AND ALL OTHER ACTIVITIES DIRECTLY OR INDIRECTLY RELATE
"RW IP HOLDINGS, LLC","THE PURPOSE OF THE COMPANY IS TO DEVELOP, CREATE, DESIGN, MAINTAIN, OWN, BUY,"
"RED CARPET COMPANY INC., THE",CARPET CLEANING
RIDER LEVETT BUCKNALL LTD.,CONSTRUCTION CONSULTING
"ROSEDALE TECHNOLOGY, INC.",SOFTWARE CONSULTING
"RIMM -KAUFMAN GROUP, LLC",CUSTOMER RELATIONS MARKETING
"RFS STORE 108, INC.",CONVENIENCE STORE
"ROCKLAND PLACE DEVELOPERS, LLC","TO BE A DEVELOPER OF ROCKLAND PLACE, ROCKLAND, MASSACHUSETTS; TO ENTER INT"
"RETELE COMMUNICATIONS, INC.",TELECOM EQUIPMENT RESELLER
RED MAPLE MANAGEMENT LIMITED,REAL ESTATE MGMT.
ROURKE WHOLESALE FLOORING INC,PROVIDE CLIENTS FLOORING AND RELATED SOLUTIONS
"REAL AUTO REPAIR, INC.",AUTO PARTS AND REPAIR SERVICE.
"RABBIT FARM CORP.,",MARKET FARM
"RED VELVET FLORIST, INCORPORATED",FLORIST
"ROCHEUX INTERNATIONAL OF NEW JERSEY, INC.",PLASTIC DISTRIBUTION
RYMATTMEG ENTERPRISES LLC,COMMERCIAL REAL ESTATE LEASING/RENTING
"R. PAUL FAXON, LLC",THE GENERAL CHARACTER OF THE LLC'S BUSINESS IS: (A) TO PRACTICE LAW; (B) TO PRAC
ROAD TECH ENGINEERING LLC,CONSULTING COMPANY FOR CONSTRUCTION AND ENGINEERING SERVICES.
"RETTOC OPTICAL SERVICE, INC.",RETAIL OPTICAL
"RONY TAXI, INCORPORATED",TAXI CAB INC
"RICHARD J. COHEN, ESQ., P.C.",LEGAL SERVICES
"REVERE-SAUGUS RIDING ACADEMY, INC.",REAL ESTATE LEASE
RIGHT PATH CONSULTANCY LLC,PROVIDING CONSULTING SERVICES AND ENGAGING IN ANY OTHER ACTIVITY IN WHICH A
"RYAN REALTY & ASSOCIATES, LLC",REAL ESTATE
